# Constructed from biom file
#OTU ID	Bact89	Bact1z3z2R	Bact5z5z2	Bact3z5z2	Bact183	Bact3z1z2R	Bact1z2z2R	Bact3z4z2	Bact128	Bact3z5z2R	Bact3z3z2	Bact90	Bact197	Bact5z5z2R	Bact127	Bact175zFB	Bact5z1z2	Bact1z5z2	Bact101	Bact5z3z2	Bact3z4z2R	Bact198	Bact1z1z2	Bact180	Bact177	Bact192	Bact5z2z2R	Bact5z1z2R	Bact5z2z2	Bact181	Bact3z3z2R	Bact176	Bact86	Bact194	Bact3z2z2R	Bact5z3z2R	Bact5z4z2	Bact1z3z2	Bact105	Bact5z4z2R	Bact182	Bact196	Bact130	Bact87	Bact184	Bact102	Bact193	Bact103	Bact1z1z2R	Bact126	Bact195	Bact1z4z2	Bact3z1z2	Bact1z5z2R	Bact3z2z2	Bact1z4z2R	Bact190	Bact104	Bact88	Bact179	Bact191	Bact1z2z2	Bact178
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__37-13;D_5__uncultured Bacteroidetes bacterium	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__37-13;D_5__uncultured bacterium	0.0	0.0	2.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__37-13;__	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	7.0	2.0	5.0	0.0	0.0	2.0	11.0	7.0	0.0	1.0	0.0	0.0	0.0	20.0	2.0	0.0	10.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	4.0	0.0	3.0	6.0	0.0	4.0	11.0	6.0	0.0	2.0	7.0	3.0	0.0	2.0	2.0	4.0	0.0	2.0	0.0	9.0	0.0	0.0	6.0	5.0	4.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Chitinophaga	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Dinghuibacter	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	46.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	15.0	3.0	12.0	0.0	0.0	0.0	32.0	0.0	2.0	6.0	0.0	0.0	0.0	9.0	0.0	0.0	8.0	9.0	31.0	0.0	6.0	13.0	0.0	25.0	0.0	0.0	10.0	19.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	17.0	16.0	0.0	4.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Ferruginibacter	0.0	4.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	7.0	18.0	0.0	11.0	9.0	0.0	5.0	0.0	11.0	4.0	5.0	0.0	7.0	0.0	5.0	0.0	7.0	0.0	0.0	0.0	5.0	6.0	0.0	4.0	0.0	0.0	6.0	0.0	3.0	0.0	2.0	2.0	6.0	0.0	10.0	9.0	8.0	15.0	0.0	0.0	4.0	3.0	18.0	0.0	26.0	3.0	19.0	0.0	0.0	0.0	11.0	59.0	2.0	2.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Filimonas	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Flavisolibacter	0.0	0.0	0.0	0.0	0.0	0.0	9.0	4.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	11.0	14.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Heliimonas	0.0	0.0	0.0	2.0	3.0	0.0	5.0	5.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	3.0	0.0	12.0	0.0	2.0	3.0	0.0	0.0	14.0	3.0	0.0	0.0	0.0	0.0	4.0	5.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	12.0	7.0	0.0	5.0	0.0	6.0	3.0	0.0	0.0	2.0	0.0	2.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Niastella	2.0	14.0	0.0	2.0	0.0	0.0	5.0	7.0	0.0	3.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Parafilimonas	0.0	43.0	4.0	14.0	0.0	10.0	16.0	25.0	0.0	16.0	133.0	1.0	6.0	19.0	0.0	0.0	0.0	0.0	0.0	36.0	26.0	3.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	11.0	14.0	0.0	19.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	5.0	0.0	0.0	4.0	16.0	0.0	5.0	3.0	0.0	5.0	5.0	0.0	0.0	4.0	2.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Segetibacter	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Terrimonas	2.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__uncultured	48.0	305.0	354.0	164.0	247.0	125.0	436.0	248.0	34.0	228.0	455.0	101.0	436.0	681.0	57.0	43.0	42.0	146.0	84.0	293.0	257.0	548.0	40.0	325.0	119.0	188.0	419.0	65.0	310.0	258.0	248.0	56.0	161.0	92.0	222.0	141.0	242.0	126.0	56.0	458.0	248.0	387.0	23.0	93.0	355.0	117.0	604.0	61.0	33.0	168.0	790.0	222.0	60.0	316.0	91.0	234.0	107.0	121.0	78.0	473.0	220.0	109.0	91.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;__	88.0	110.0	199.0	167.0	74.0	193.0	149.0	286.0	82.0	164.0	198.0	43.0	123.0	140.0	14.0	30.0	123.0	71.0	90.0	163.0	243.0	13.0	79.0	70.0	47.0	101.0	150.0	123.0	112.0	63.0	65.0	84.0	204.0	90.0	106.0	57.0	271.0	48.0	106.0	107.0	70.0	161.0	40.0	136.0	16.0	76.0	52.0	109.0	49.0	15.0	106.0	109.0	157.0	134.0	113.0	84.0	62.0	264.0	101.0	36.0	195.0	155.0	92.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__uncultured;D_5__uncultured bacterium	0.0	0.0	0.0	3.0	5.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	11.0	0.0	5.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	7.0	0.0	2.0	6.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	2.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__uncultured;__	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	5.0	13.0	2.0	0.0	0.0	2.0	16.0	0.0	0.0	0.0	3.0	0.0	4.0	3.0	0.0	4.0	2.0	0.0	3.0	4.0	9.0	0.0	7.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	3.0	6.0	0.0	0.0	2.0	4.0	5.0	2.0	3.0	5.0	2.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cytophagaceae;D_5__Cytophaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	13.0	0.0	4.0	9.0	0.0	0.0	10.0	0.0	0.0	6.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cytophagaceae;D_5__Sporocytophaga	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0	0.0	7.0	0.0	4.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cytophagaceae;__	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae;D_5__uncultured	2.0	5.0	15.0	6.0	11.0	0.0	3.0	56.0	0.0	6.0	41.0	27.0	3.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	72.0	0.0	0.0	6.0	4.0	0.0	0.0	7.0	0.0	17.0	49.0	6.0	23.0	6.0	12.0	0.0	0.0	2.0	20.0	0.0	9.0	0.0	0.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	60.0	5.0	0.0	0.0	15.0	0.0	0.0	20.0	5.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Flavobacterium	0.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	2.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Weeksellaceae;D_5__Chryseobacterium	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	2.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__AKYH767;D_5__metagenome	0.0	0.0	4.0	2.0	3.0	0.0	2.0	4.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	2.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	7.0	0.0	0.0	11.0	3.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	16.0	6.0	2.0	0.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	2.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__AKYH767;D_5__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__AKYH767;__	0.0	0.0	9.0	2.0	2.0	4.0	0.0	2.0	4.0	4.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	5.0	7.0	0.0	0.0	0.0	5.0	4.0	2.0	0.0	0.0	16.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	2.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__CWT CU03-E12;D_5__bacterium enrichment culture clone auto79_4W	0.0	2.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	3.0	4.0	0.0	5.0	0.0	4.0	2.0	2.0	0.0	6.0	0.0	10.0	3.0	11.0	5.0	2.0	3.0	5.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	9.0	2.0	4.0	2.0	5.0	3.0	0.0	10.0	0.0	0.0	0.0	4.0	6.0	0.0	10.0	0.0	7.0	2.0	0.0	4.0	4.0	3.0	0.0	2.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__CWT CU03-E12;D_5__uncultured Bacteroidetes bacterium	0.0	11.0	2.0	4.0	6.0	0.0	5.0	0.0	15.0	4.0	0.0	0.0	9.0	4.0	13.0	9.0	0.0	5.0	0.0	9.0	0.0	8.0	0.0	9.0	4.0	17.0	2.0	0.0	5.0	7.0	0.0	0.0	11.0	5.0	0.0	5.0	0.0	0.0	2.0	13.0	4.0	5.0	20.0	8.0	9.0	0.0	14.0	7.0	0.0	3.0	7.0	7.0	0.0	8.0	0.0	5.0	3.0	9.0	3.0	11.0	3.0	0.0	6.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__CWT CU03-E12;D_5__uncultured bacterium	4.0	7.0	0.0	8.0	0.0	0.0	9.0	4.0	6.0	5.0	5.0	0.0	11.0	6.0	26.0	0.0	0.0	8.0	12.0	14.0	0.0	11.0	0.0	5.0	3.0	26.0	16.0	0.0	16.0	5.0	2.0	3.0	4.0	8.0	2.0	4.0	5.0	5.0	0.0	13.0	0.0	3.0	13.0	16.0	13.0	13.0	41.0	9.0	0.0	18.0	18.0	13.0	2.0	9.0	2.0	5.0	14.0	7.0	2.0	9.0	7.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__CWT CU03-E12;D_5__uncultured soil bacterium	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__CWT CU03-E12;__	5.0	5.0	7.0	4.0	2.0	0.0	12.0	3.0	2.0	2.0	3.0	26.0	3.0	3.0	0.0	0.0	0.0	5.0	4.0	8.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0	0.0	0.0	2.0	4.0	2.0	3.0	5.0	3.0	3.0	0.0	0.0	3.0	3.0	4.0	0.0	0.0	2.0	5.0	1.0	2.0	3.0	2.0	0.0	7.0	0.0	9.0	4.0	3.0	2.0	0.0	3.0	3.0	5.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__KD3-93;D_5__uncultured Bacteroidetes bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__S15-21;D_5__uncultured bacterium	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Mucilaginibacter	23.0	70.0	90.0	66.0	101.0	41.0	91.0	101.0	10.0	54.0	69.0	167.0	122.0	106.0	80.0	7.0	7.0	60.0	37.0	59.0	51.0	151.0	17.0	103.0	30.0	51.0	64.0	8.0	41.0	89.0	88.0	39.0	44.0	28.0	56.0	24.0	45.0	16.0	6.0	107.0	56.0	107.0	15.0	39.0	172.0	42.0	269.0	34.0	10.0	62.0	132.0	111.0	29.0	118.0	45.0	98.0	42.0	27.0	23.0	102.0	70.0	32.0	33.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Pedobacter	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	6.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__env.OPS 17;D_5__uncultured Sphingobacteriia bacterium	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__env.OPS 17;D_5__uncultured bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__env.OPS 17;__	2.0	5.0	0.0	2.0	2.0	6.0	0.0	5.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	6.0	4.0	0.0	6.0	0.0	0.0	3.0	0.0	4.0	2.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	2.0	0.0	0.0	2.0	0.0	8.0	5.0	3.0	5.0	4.0	2.0	0.0	0.0	6.0	0.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;__;__	5.0	0.0	9.0	3.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	4.0	2.0	2.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	8.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;__;__;__	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
